Expenditures_Low;Expenditures_Medium;Expenditures_High;Expenditures_VeryHigh;Gender_Male;Gender_Female;Age_Cohort_0_5;Age_Cohort_13_17;Age_Cohort_18_21;Age_Cohort_22_50;Age_Cohort_51More;Age_Cohort_6_12;Ethnicity_American_Indian;Ethnicity_Asian;Ethnicity_Black;Ethnicity_Hispanic;Ethnicity_Multi_Race;Ethnicity_Native_Hawaiian;Ethnicity_Other;Ethnicity_White_not_Hispanic;positive;negative
0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1
1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0
1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1
0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1
0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1
0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1
1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0
0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1
0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1
0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
